Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
Navio1,59,15,63260,14,8,24,19,11,2008,GL,Porto5,Porto2,1
Navio2,15,9,46723,13,15,30,13,60,2015,GL,Porto1,Porto5,1
Navio3,18,11,191817,15,16,28,10,33,2009,GS,Porto3,Porto1,0
Navio4,18,13,195241,11,16,19,12,74,2020,GSM,Porto2,Porto5,0
Navio5,54,17,37299,10,15,16,14,24,2006,GLP,Porto5,Porto3,1
Navio6,24,15,161956,16,12,14,18,101,2019,GL,Porto1,Porto5,0
Navio7,34,17,69892,9,18,21,8,87,2002,GL,Porto2,Porto4,0
Navio8,36,6,34081,11,14,27,10,47,2000,GSM,Porto5,Porto2,0
Navio9,51,17,30851,16,17,10,16,62,2015,GL,Porto4,Porto5,1
Navio10,38,13,114217,19,14,21,15,108,2002,GSM,Porto3,Porto5,0
Navio11,21,17,32597,11,16,33,17,86,2006,GLP,Porto3,Porto2,1
Navio12,39,7,145564,19,11,34,5,12,2005,CG,Porto3,Porto1,0
Navio13,39,8,74761,13,15,28,8,107,2000,GLP,Porto3,Porto2,0
Navio14,27,11,88887,9,16,18,18,88,2019,CG,Porto3,Porto3,1
Navio15,16,6,82156,10,12,31,16,27,2000,GSM,Porto1,Porto5,0
Navio16,53,11,191957,18,10,29,5,115,1999,CG,Porto1,Porto2,0
Navio17,54,14,45956,19,11,12,13,54,2009,GS,Porto4,Porto5,0
Navio18,38,15,86314,19,8,28,9,81,2018,GLP,Porto5,Porto1,0
Navio19,39,14,192064,14,12,16,19,37,2010,GSM,Porto1,Porto5,0
Navio20,32,8,162584,11,16,34,13,33,2000,GLP,Porto3,Porto5,0
Navio21,52,17,152023,10,8,24,8,109,2012,CNTR,Porto2,Porto2,1
Navio22,40,11,119953,13,19,21,5,75,2015,GLP,Porto2,Porto1,0
Navio23,28,9,56433,11,18,11,14,81,2017,CG,Porto5,Porto3,1
Navio24,23,7,85497,13,12,30,11,67,2008,GSM,Porto4,Porto2,1
Navio25,24,13,52615,19,10,23,8,85,2010,GS,Porto4,Porto2,0
Navio26,35,9,68212,9,14,23,15,67,2012,CNTR,Porto1,Porto1,1
Navio27,31,16,186678,17,10,11,17,113,2005,GS,Porto4,Porto4,0
Navio28,20,14,87185,18,10,20,8,20,2014,CNTR,Porto4,Porto5,1
Navio29,30,11,64162,9,10,29,5,18,2019,GSM,Porto3,Porto2,1
Navio30,15,16,172908,18,15,33,11,24,2020,GL,Porto2,Porto1,0
Navio31,33,11,193032,13,19,23,17,103,2012,GLP,Porto1,Porto2,0
Navio32,50,7,114029,17,18,29,17,105,2001,GS,Porto4,Porto1,0
