,Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
1,Navio2,15,11,144548,9,8,25,6,90,2003,GL,Porto2,Porto5,0
3,Navio4,18,16,111313,16,14,31,9,44,1999,GSM,Porto4,Porto5,0
5,Navio6,24,7,168680,18,11,28,16,74,2010,GL,Porto4,Porto5,0
6,Navio7,34,15,76897,14,19,20,5,93,2010,GL,Porto1,Porto1,0
7,Navio8,36,8,125016,12,14,22,10,54,2004,GSM,Porto4,Porto2,0
8,Navio9,51,9,57730,15,17,26,18,68,2004,GL,Porto4,Porto4,0
9,Navio10,38,6,104038,19,9,32,9,40,2000,GSM,Porto5,Porto5,0
10,Navio11,21,9,151813,13,11,32,6,108,2003,GLP,Porto2,Porto1,0
11,Navio12,39,6,170892,15,12,28,12,81,2008,CG,Porto1,Porto2,0
13,Navio14,27,17,111857,18,19,21,15,82,2004,CG,Porto1,Porto4,0
17,Navio18,38,10,76361,17,19,31,5,95,2004,GLP,Porto5,Porto3,0
20,Navio21,52,14,62821,15,14,20,5,34,2004,CNTR,Porto2,Porto5,0
21,Navio22,40,11,152326,8,15,34,18,110,2000,GLP,Porto4,Porto1,0
23,Navio24,23,12,130001,19,14,30,13,41,2016,GSM,Porto4,Porto3,0
24,Navio25,24,7,57086,19,17,33,18,18,2018,GS,Porto1,Porto5,0
25,Navio26,35,15,171685,14,18,21,9,91,2021,CNTR,Porto5,Porto1,0
27,Navio28,20,7,127476,8,14,31,8,48,1998,CNTR,Porto4,Porto2,0
29,Navio30,15,12,33702,14,14,28,7,66,2003,GL,Porto2,Porto5,0
30,Navio31,33,8,198789,13,17,16,10,39,2019,GLP,Porto4,Porto1,0
31,Navio32,50,8,78813,15,12,20,7,26,1999,GS,Porto4,Porto4,0
32,Navio33,39,17,70412,14,8,34,10,61,2004,GSM,Porto2,Porto5,0
33,Navio34,44,15,158790,14,8,31,14,52,2011,GL,Porto1,Porto1,0
34,Navio35,34,8,106032,15,19,19,14,112,2011,GSM,Porto2,Porto1,0
37,Navio38,54,9,82105,15,12,19,8,88,2003,CG,Porto3,Porto5,0
38,Navio39,47,10,187473,18,9,15,16,76,1999,GLP,Porto5,Porto5,0
39,Navio40,16,16,172580,11,15,21,12,76,2001,GL,Porto2,Porto4,0
41,Navio42,47,12,36899,16,18,14,12,69,2003,GLP,Porto1,Porto2,0
42,Navio43,46,12,30922,15,11,25,6,114,2002,GSM,Porto4,Porto5,0
43,Navio44,25,14,66509,19,8,31,14,58,2021,GS,Porto5,Porto5,0
44,Navio45,38,14,187618,19,13,28,9,95,2010,GLP,Porto4,Porto2,0
46,Navio47,26,11,118330,15,12,17,15,114,2002,GS,Porto3,Porto5,0
48,Navio49,49,8,83473,14,19,12,11,101,2004,GL,Porto5,Porto4,0
49,Navio50,15,11,193777,16,12,19,12,21,1999,CNTR,Porto3,Porto5,0
50,Navio51,15,15,156845,8,15,13,7,29,2009,CNTR,Porto5,Porto5,0
51,Navio52,51,11,51267,19,9,18,19,60,2016,CNTR,Porto3,Porto1,0
56,Navio57,30,16,107224,18,15,19,8,45,1998,CG,Porto2,Porto4,0
58,Navio59,56,7,182391,17,10,33,17,38,2019,GSM,Porto4,Porto1,0
59,Navio60,57,14,126168,17,14,30,11,67,2004,CNTR,Porto2,Porto3,0
61,Navio62,16,9,164522,12,13,11,19,59,2008,CG,Porto5,Porto4,0
63,Navio64,54,17,101209,19,10,28,19,95,2012,CG,Porto3,Porto4,0
64,Navio65,56,15,182326,15,19,30,19,49,2014,CG,Porto1,Porto3,0
65,Navio66,50,8,55139,8,11,14,19,62,2000,CG,Porto3,Porto2,0
70,Navio71,15,13,144144,19,8,22,7,84,2012,GSM,Porto3,Porto2,0
74,Navio75,57,14,54570,8,17,14,15,41,1998,GSM,Porto3,Porto5,0
75,Navio76,35,17,191234,13,15,17,14,56,2020,GLP,Porto1,Porto4,0
78,Navio79,21,7,125135,9,17,31,9,76,2002,GS,Porto3,Porto4,0
80,Navio81,18,13,188204,9,13,33,6,29,2012,GSM,Porto5,Porto2,0
82,Navio83,51,16,197431,12,14,14,19,47,2014,CG,Porto1,Porto1,0
83,Navio84,55,10,30523,10,19,10,7,50,2011,GLP,Porto5,Porto3,0
84,Navio85,29,17,187375,17,13,21,18,11,2022,GLP,Porto3,Porto5,0
85,Navio86,30,6,84986,18,16,14,13,113,1998,GLP,Porto5,Porto4,0
86,Navio87,35,11,51818,11,13,25,5,63,2004,GSM,Porto1,Porto2,0
87,Navio88,50,17,88537,17,15,33,18,14,2003,GL,Porto3,Porto5,0
89,Navio90,30,17,31058,19,19,16,18,31,2007,GLP,Porto5,Porto1,0
90,Navio91,28,13,190170,9,19,23,16,116,2018,GL,Porto3,Porto4,0
92,Navio93,20,14,74102,12,19,13,6,86,2018,GLP,Porto1,Porto1,0
94,Navio95,50,7,185515,18,19,17,14,62,2013,GSM,Porto4,Porto2,0
95,Navio96,15,12,162775,11,10,13,11,19,2010,CG,Porto5,Porto2,0
96,Navio97,46,17,182345,9,17,34,10,111,2010,CG,Porto2,Porto5,0
99,Navio100,15,15,159985,15,19,19,7,119,2021,GLP,Porto5,Porto4,0
