,Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
0,Navio46,50,14,140777,17,15,24,12,44,2014,GS,Porto2,Porto4,1
1,Navio610,16,17,94901,13,12,32,13,63,2020,GSM,Porto4,Porto5,1
2,Navio470,22,7,154178,17,11,25,7,12,2009,GLP,Porto5,Porto4,1
3,Navio480,46,10,62903,10,18,25,19,63,2013,CG,Porto5,Porto3,1
4,Navio197,39,16,89097,16,16,30,10,111,2019,GSM,Porto3,Porto1,1
5,Navio341,34,17,133313,13,9,30,7,68,2018,GSM,Porto5,Porto2,1
6,Navio124,42,9,89827,16,8,31,16,101,2019,GLP,Porto5,Porto5,1
7,Navio457,55,12,47445,9,10,32,17,74,2016,CG,Porto2,Porto2,1
8,Navio208,58,13,95959,16,11,22,15,33,2014,GL,Porto5,Porto5,1
9,Navio168,31,14,123699,18,12,25,17,36,2018,GLP,Porto5,Porto5,1
10,Navio416,51,11,85292,9,18,34,19,84,2020,GL,Porto5,Porto2,1
11,Navio169,39,10,104151,8,11,16,12,22,2019,GLP,Porto3,Porto3,1
12,Navio11,21,9,151813,13,11,32,6,108,2003,GLP,Porto2,Porto1,0
13,Navio92,36,17,54500,14,13,23,14,61,2019,GSM,Porto4,Porto5,1
14,Navio701,39,15,56712,15,14,13,13,23,2019,GS,Porto4,Porto3,1
15,Navio456,49,11,95444,12,18,11,13,64,2015,GS,Porto3,Porto5,1
16,Navio2,15,11,144548,9,8,25,6,90,2003,GL,Porto2,Porto5,0
17,Navio54,53,16,102709,11,8,13,17,117,2017,GLP,Porto1,Porto3,1
18,Navio437,34,15,85627,9,8,28,14,48,2010,GS,Porto1,Porto1,1
19,Navio553,56,8,87043,13,18,23,6,10,2018,CG,Porto4,Porto1,1
20,Navio98,20,16,74962,8,15,13,15,29,2010,CG,Porto1,Porto3,1
21,Navio9,51,9,57730,15,17,26,18,68,2004,GL,Porto4,Porto4,0
22,Navio421,16,12,130868,11,15,24,19,116,2017,CG,Porto4,Porto2,1
23,Navio160,29,17,142595,13,15,12,7,30,2008,GLP,Porto5,Porto4,1
24,Navio397,19,16,96816,13,9,24,16,25,2014,GSM,Porto2,Porto1,1
25,Navio12,39,6,170892,15,12,28,12,81,2008,CG,Porto1,Porto2,0
26,Navio529,37,9,153527,15,11,19,14,40,2014,CG,Porto3,Porto4,1
27,Navio240,22,10,106983,10,18,34,9,54,2021,GL,Porto4,Porto5,1
28,Navio617,23,12,144959,15,17,11,15,63,2020,CG,Porto5,Porto4,1
29,Navio170,44,9,80622,13,18,19,11,22,2010,GS,Porto2,Porto3,1
30,Navio79,21,7,125135,9,17,31,9,76,2002,GS,Porto3,Porto4,0
31,Navio219,42,13,95535,13,17,21,14,105,2016,GS,Porto1,Porto5,1
32,Navio252,15,17,57066,14,16,24,11,20,2011,GS,Porto1,Porto3,1
33,Navio523,38,17,136583,13,16,22,9,103,2012,GL,Porto4,Porto2,1
34,Navio485,45,11,34988,12,12,22,16,91,2013,GS,Porto3,Porto4,1
35,Navio394,31,12,122994,17,15,29,12,104,2012,CG,Porto5,Porto4,1
36,Navio255,20,17,130604,11,16,12,6,74,2009,CG,Porto1,Porto1,1
37,Navio249,20,13,93655,11,15,14,11,37,2010,GS,Porto1,Porto4,1
38,Navio393,17,8,154564,13,8,22,10,102,2015,CG,Porto5,Porto4,1
39,Navio272,32,11,107608,14,10,34,10,114,2006,CNTR,Porto5,Porto4,1
40,Navio78,19,16,138002,18,11,23,19,79,2007,CNTR,Porto2,Porto5,1
41,Navio29,30,11,81246,17,12,21,7,45,2018,GSM,Porto2,Porto2,1
42,Navio43,46,12,30922,15,11,25,6,114,2002,GSM,Porto4,Porto5,0
43,Navio326,15,14,61855,9,18,31,15,53,2019,GSM,Porto2,Porto3,1
44,Navio297,36,14,91363,15,12,18,16,69,2007,CG,Porto5,Porto5,1
45,Navio430,58,10,40417,16,14,11,9,23,2008,GS,Porto3,Porto2,1
