,Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
0,Navio3404,32,7,130453,14,18,29,17,84,2022,CG,Porto87,Porto9,0
1,Navio2506,30,8,147590,17,18,19,17,29,2008,CG,Porto74,Porto36,0
2,Navio3864,24,7,165016,14,19,32,5,30,2016,GS,Porto155,Porto192,1
3,Navio3976,18,13,44752,17,10,32,6,107,2011,CNTR,Porto109,Porto152,0
4,Navio3277,21,15,138212,17,18,23,11,85,2006,GLP,Porto199,Porto108,0
5,Navio2883,55,16,130903,17,18,33,6,35,2014,CG,Porto80,Porto145,0
6,Navio2164,35,16,146510,14,13,14,5,51,2006,GSM,Porto53,Porto40,0
7,Navio2515,42,14,128831,8,17,12,15,110,2013,CNTR,Porto194,Porto115,0
8,Navio3092,24,17,137622,12,14,32,19,22,2007,CNTR,Porto190,Porto51,0
9,Navio3919,55,17,78977,16,18,21,10,111,2017,CNTR,Porto61,Porto43,0
10,Navio3862,59,17,74406,9,11,22,10,103,2002,CG,Porto103,Porto157,1
11,Navio3806,26,14,170274,11,15,31,16,90,2010,GS,Porto54,Porto179,1
12,Navio3939,55,7,175222,14,10,26,16,21,2006,GS,Porto135,Porto193,1
13,Navio3149,26,16,57365,12,18,21,16,104,2016,GSM,Porto104,Porto134,0
14,Navio3839,33,15,101626,18,8,24,18,87,2008,CG,Porto46,Porto38,0
15,Navio3807,23,15,35552,8,12,24,6,49,2010,GSM,Porto112,Porto61,0
16,Navio3275,46,14,44494,8,17,26,16,96,2008,CNTR,Porto56,Porto25,0
17,Navio2173,56,14,125441,10,10,29,13,65,2012,GL,Porto120,Porto190,0
18,Navio2105,19,17,119474,18,10,16,19,51,2013,GLP,Porto166,Porto64,0
19,Navio3722,51,14,137481,15,18,31,16,71,2008,GS,Porto2,Porto194,0
20,Navio2741,23,6,72890,11,12,11,17,85,2021,CG,Porto181,Porto69,0
21,Navio2297,58,17,129470,14,13,21,8,18,2017,GS,Porto147,Porto32,0
22,Navio3844,57,10,167188,9,9,11,13,99,2010,CNTR,Porto46,Porto63,1
23,Navio3827,36,7,96036,16,17,31,8,117,2015,GS,Porto96,Porto181,0
24,Navio3231,21,11,102186,11,13,14,11,112,2016,GLP,Porto104,Porto187,0
25,Navio3732,30,8,181021,10,12,28,6,46,2013,GS,Porto36,Porto56,1
26,Navio2871,20,16,122242,13,18,17,12,17,2008,GL,Porto84,Porto39,0
27,Navio3258,33,7,57256,17,9,21,14,36,2007,CNTR,Porto151,Porto145,0
28,Navio3849,35,12,45108,8,17,34,13,71,2004,CNTR,Porto114,Porto43,1
29,Navio3811,36,13,46332,18,14,31,10,114,2006,GL,Porto86,Porto46,0
30,Navio3877,43,15,182701,13,12,29,14,108,2003,GLP,Porto161,Porto157,1
31,Navio3326,22,16,101984,10,13,13,19,99,2018,CG,Porto121,Porto34,0
32,Navio3756,51,8,88686,17,14,18,19,12,2000,CNTR,Porto75,Porto18,1
33,Navio2342,46,11,63790,8,12,31,7,64,2015,GL,Porto32,Porto97,0
34,Navio3661,55,7,96658,11,10,23,14,23,2000,CNTR,Porto173,Porto93,1
35,Navio3065,36,7,78761,16,10,11,18,25,2013,CNTR,Porto61,Porto47,0
36,Navio2373,17,16,79105,12,15,12,19,74,2008,CNTR,Porto116,Porto180,0
37,Navio3445,32,10,30552,12,13,27,10,45,2016,GLP,Porto195,Porto56,0
38,Navio3785,31,11,178586,11,13,23,7,111,2016,GLP,Porto132,Porto166,1
39,Navio2694,55,8,152109,11,14,23,13,49,2006,GSM,Porto126,Porto9,0
40,Navio3148,48,8,63241,14,9,34,10,92,2021,CNTR,Porto59,Porto52,0
41,Navio2378,52,9,133226,15,13,34,11,15,2020,GLP,Porto91,Porto176,0
42,Navio2702,58,17,132499,11,15,31,13,13,2012,CNTR,Porto45,Porto12,0
43,Navio3949,35,13,64561,15,9,30,8,21,2022,CG,Porto31,Porto162,0
44,Navio3734,57,9,72842,19,13,25,19,67,2022,CG,Porto114,Porto14,1
45,Navio2644,56,10,117797,10,11,21,17,12,2017,GLP,Porto162,Porto13,0
46,Navio3173,57,17,110721,13,13,30,18,19,2014,GLP,Porto140,Porto65,0
47,Navio2097,47,11,144703,16,8,31,7,25,2006,GSM,Porto136,Porto152,0
48,Navio3782,56,6,119729,12,19,21,11,85,2010,GSM,Porto24,Porto150,1
49,Navio2510,32,11,34735,11,12,22,19,31,2014,GSM,Porto113,Porto112,0
50,Navio3648,42,17,90979,10,17,10,9,60,1998,GSM,Porto91,Porto164,1
51,Navio3064,23,7,134478,14,11,34,17,45,2014,GSM,Porto131,Porto51,0
52,Navio3407,40,10,94775,17,17,11,5,90,2007,GLP,Porto113,Porto56,0
