,Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
0,Navio12247,216,44,118599,15.099601580924315,11.95012942984634,15,5,31,2011,CNTR,Porto22,Porto142,0
1,Navio13326,184,32,89966,12.037097354352795,13.772123455614592,18,18,57,2012,GL,Porto173,Porto52,0
2,Navio19804,255,61,78057,18.53233675518866,17.248145204976126,20,9,112,2011,GS,Porto25,Porto149,1
3,Navio9958,198,28,103699,18.301265146104267,17.420515972407003,22,6,14,2015,GLP,Porto94,Porto164,0
4,Navio18560,209,38,99663,17.72454132820601,12.390023903659932,23,6,54,2021,CNTR,Porto145,Porto113,0
5,Navio18919,193,46,133357,13.127064089434631,16.37836448550943,27,6,53,2022,GL,Porto16,Porto197,0
6,Navio11969,189,31,107862,15.293079730612195,15.531381639660186,10,15,82,2017,CNTR,Porto175,Porto145,0
7,Navio11209,210,25,89556,14.567187827434566,11.712992350075488,23,8,118,2008,CG,Porto2,Porto177,0
8,Navio17190,185,29,132214,16.130529237639887,13.455941990897303,24,10,92,2009,CNTR,Porto88,Porto21,0
9,Navio17668,221,34,109119,17.887596714951403,13.731313151795026,23,7,83,2019,GLP,Porto37,Porto67,0
10,Navio19887,268,34,85331,16.17703340736868,18.067058315960246,12,13,24,2016,GLP,Porto130,Porto144,1
11,Navio16808,216,41,129940,16.17269583034631,16.975688263604308,27,9,37,2005,GS,Porto3,Porto98,0
12,Navio17710,198,29,120827,11.927343357981766,12.617746472710746,20,18,53,2007,GLP,Porto176,Porto148,0
13,Navio11491,188,26,97872,13.550679411195652,12.377967379255697,10,12,26,2009,CG,Porto17,Porto47,0
14,Navio10237,206,40,154134,14.953214105557826,15.08275837888382,13,11,114,2016,CNTR,Porto127,Porto25,0
15,Navio18868,218,49,102284,13.776171042917042,13.755261583782291,28,14,85,2017,GSM,Porto60,Porto84,0
16,Navio9302,192,27,144692,14.955126273833713,18.497396144493187,11,10,57,2016,CG,Porto15,Porto27,0
17,Navio12995,215,32,84369,17.670318629253774,13.504642719921176,20,7,32,2022,GS,Porto181,Porto147,0
18,Navio11929,217,40,84435,12.130174249771025,12.564511399315455,25,18,17,2015,CG,Porto53,Porto3,0
