,Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
0,Navio494,262,66,147062,17.49270895401026,13.986033747213348,26,5,22,2013,GL,Porto22,Porto126,1
1,Navio4787,223,30,141075,13.759190813332479,16.606147813924544,11,7,34,2014,GS,Porto192,Porto23,0
2,Navio120,252,37,113091,13.241776284758277,15.010604190556904,21,16,57,2005,CG,Porto8,Porto106,1
3,Navio91,197,73,144084,15.282499104372818,16.170946102995295,12,11,23,2008,GL,Porto14,Porto193,1
4,Navio5271,207,46,90295,11.63685712683815,13.226276057952813,26,11,15,2010,CG,Porto145,Porto170,0
5,Navio1444,205,32,154287,12.02480798733282,12.743322461754074,19,18,85,2016,GLP,Porto105,Porto92,0
6,Navio489,191,28,83060,19.97719041275306,12.5207583052564,20,18,94,2005,GL,Porto61,Porto147,1
7,Navio487,221,30,87904,14.64963871899602,17.416464948350892,23,13,21,2001,GS,Porto153,Porto64,1
8,Navio479,218,33,101351,12.961062051271153,17.12112006642044,12,15,110,2012,GLP,Porto151,Porto146,0
9,Navio6020,216,47,121345,16.277473248641922,14.606502263722358,24,13,115,2023,GS,Porto172,Porto148,0
10,Navio214,260,35,113294,18.055794516542825,17.84019844530659,16,7,88,2014,GLP,Porto117,Porto99,1
11,Navio20,285,48,143643,17.311689053930444,14.781084516821378,10,14,16,2000,GLP,Porto95,Porto11,1
12,Navio96,267,33,131685,15.526684569201251,13.208156987417519,28,15,17,2002,CG,Porto15,Porto38,1
13,Navio2998,187,34,115627,14.866771714541555,16.16507822161887,15,8,111,2009,CNTR,Porto106,Porto133,0
14,Navio297,186,78,106080,12.26776157870232,13.362244939249038,19,9,76,2023,CG,Porto88,Porto27,1
15,Navio224,263,56,147276,18.22877955790651,16.594672266809773,12,10,74,2015,GLP,Porto2,Porto150,1
16,Navio2935,201,41,76917,14.41097933696663,17.55080669068085,19,5,44,2010,GL,Porto163,Porto109,0
17,Navio3710,211,32,86787,17.26493716290246,15.701917113659107,29,10,12,2018,GS,Porto138,Porto69,0
18,Navio1308,194,28,101472,16.18954069850242,12.237089834834665,18,18,96,2007,GSM,Porto38,Porto33,0
19,Navio3326,192,42,80460,13.610035743522754,17.33409483736331,26,5,91,2008,CG,Porto157,Porto167,0
20,Navio528,236,78,129798,15.440473524359774,12.119582877805167,14,6,105,2021,GLP,Porto173,Porto47,1
21,Navio2188,220,42,148894,12.25146813557909,12.425386445260369,11,18,45,2006,CG,Porto146,Porto8,0
22,Navio225,243,44,150216,19.467375400682798,18.46231476852349,23,5,118,2004,GSM,Porto110,Porto91,1
23,Navio438,188,30,144530,14.667761799757061,16.715638665875296,29,9,17,2012,GL,Porto47,Porto150,0
24,Navio2534,186,48,138326,16.766479603108138,12.608637561000078,10,10,54,2018,GS,Porto181,Porto150,0
25,Navio2903,222,48,96921,16.41995837234294,12.485666369851135,23,13,93,2010,GL,Porto136,Porto50,0
26,Navio5201,208,37,150508,16.441845735841962,14.085537417940017,13,15,77,2015,GL,Porto200,Porto194,0
27,Navio447,275,33,145221,17.303030181450524,17.625594549538167,21,15,11,2007,CNTR,Porto148,Porto37,1
28,Navio3607,218,40,142680,14.794572243532027,15.24487395662766,16,19,12,2022,GL,Porto97,Porto42,0
29,Navio356,227,26,85289,14.405546017728875,17.839993379701582,24,12,63,2001,CNTR,Porto199,Porto186,1
30,Navio5562,220,27,107260,17.994678829956534,14.173586573536864,29,10,111,2006,GSM,Porto127,Porto42,0
31,Navio92,282,55,131244,19.868588927837195,19.720744616627883,28,7,32,2000,GSM,Porto72,Porto139,1
32,Navio4813,220,45,153495,15.954130317356118,12.207339912078098,10,7,63,2009,CG,Porto78,Porto31,0
33,Navio506,239,46,116205,19.3474336310669,13.688368238721162,19,11,19,2021,GSM,Porto150,Porto192,1
34,Navio3024,220,44,87823,13.448821264719928,15.077220172088612,16,14,103,2011,CG,Porto150,Porto118,0
35,Navio4784,212,34,145004,18.131964383533607,14.948731189739913,21,18,90,2009,GLP,Porto77,Porto1,0
36,Navio25,264,26,142040,13.98633469026128,13.142871392049033,26,12,86,2001,GS,Porto133,Porto84,1
37,Navio197,255,65,100768,17.37920024972574,17.71123874023772,20,5,24,2018,GSM,Porto116,Porto132,1
38,Navio4649,216,46,134379,16.91309933747637,16.203312916260934,26,13,116,2023,GSM,Porto39,Porto40,0
39,Navio74,187,77,109382,18.333849543160728,12.366991627035183,16,11,29,2006,GS,Porto106,Porto36,1
40,Navio1959,201,28,87874,17.599236645951187,18.21325886075834,17,16,98,2022,GS,Porto29,Porto54,0
41,Navio73,262,34,137453,17.570538039792968,15.387392389262036,17,13,74,2021,GL,Porto186,Porto151,1
42,Navio3871,216,46,149431,14.078346448873775,18.04943988640537,22,7,88,2011,CNTR,Porto134,Porto47,0
43,Navio391,269,71,96526,18.11898217591377,11.88999373902016,12,13,96,2009,GSM,Porto173,Porto163,1
44,Navio469,270,56,128901,19.45877216538215,14.703824688609922,29,7,112,2022,GL,Porto6,Porto104,1
45,Navio2276,224,40,119806,13.996466307171616,15.721986014558103,26,14,75,2006,GLP,Porto45,Porto69,0
46,Navio2945,183,34,122737,16.013654896523512,16.592645369769556,28,12,87,2010,CG,Porto81,Porto149,0
47,Navio746,217,45,130307,12.32513873609857,15.701468236660663,17,8,90,2009,GS,Porto154,Porto57,0
48,Navio359,294,73,81701,13.493800948465504,18.20080362739023,11,12,100,2011,CNTR,Porto105,Porto122,1
49,Navio117,268,66,77844,13.351968119576041,12.519983214051013,23,13,111,2020,GSM,Porto7,Porto129,1
50,Navio6252,198,38,131205,16.062936789675796,16.21838016526045,13,19,12,2008,CG,Porto189,Porto77,0
51,Navio135,281,77,141922,15.394504611457691,17.316346674235067,10,10,102,2017,GS,Porto147,Porto158,1
52,Navio36,262,54,150651,16.4975766477512,13.059593454189319,22,15,106,2012,GLP,Porto150,Porto27,1
53,Navio4326,218,28,99027,14.941874837375247,12.637700722480687,13,9,72,2008,GSM,Porto168,Porto10,0
54,Navio6057,185,40,102640,18.07124197042175,18.116708026726002,19,17,99,2005,GSM,Porto89,Porto75,0
55,Navio154,250,75,107046,12.090293680144963,18.461842926801143,19,19,35,2015,CG,Porto167,Porto46,1
56,Navio250,184,38,79870,12.991445907394606,18.582259590022403,12,10,62,2014,GSM,Porto52,Porto22,1
57,Navio124,278,57,97257,16.798459438739467,14.548636407729177,20,16,117,2016,GLP,Porto49,Porto51,1
58,Navio278,287,77,86847,12.131887554441487,19.51558701561081,20,7,66,2017,GSM,Porto59,Porto83,1
59,Navio2871,192,32,113702,13.797602198835142,14.414745151719536,12,9,31,2005,GL,Porto31,Porto36,0
60,Navio2805,218,45,109203,14.525533641964394,16.234815649545702,24,5,14,2020,GLP,Porto87,Porto133,0
61,Navio89,274,63,145501,11.904801983772627,19.496807391235564,21,16,69,2020,GS,Porto186,Porto171,1
62,Navio5127,223,31,100256,14.392890956570078,16.01492466508638,22,14,56,2018,CNTR,Porto179,Porto79,0
63,Navio152,218,25,149907,19.404065178366544,13.61814976430447,24,11,69,2000,GS,Porto124,Porto86,1
64,Navio305,193,79,85447,13.686523648135662,16.444604525437036,10,9,32,2019,GL,Porto101,Porto160,1
65,Navio2586,220,44,92427,13.60777696527712,15.376096008364952,17,16,31,2014,GLP,Porto192,Porto52,0
66,Navio220,212,66,143733,15.498116515906005,17.683170232137304,12,5,83,2013,CNTR,Porto63,Porto27,1
67,Navio4454,213,47,150546,12.45057975144227,14.784277550054775,12,17,23,2021,GLP,Porto89,Porto74,0
68,Navio122,218,48,127201,12.388726834917993,16.128179101331376,11,12,90,2023,GLP,Porto167,Porto42,0
69,Navio14,253,73,141131,14.342212280911006,16.17468411296252,25,7,119,2013,CG,Porto142,Porto14,1
70,Navio4744,183,39,92385,11.636670542825176,13.94829462090681,19,12,102,2009,GLP,Porto194,Porto158,0
71,Navio300,233,58,95837,15.033868489604075,13.896226614011022,20,12,68,2011,GSM,Porto77,Porto170,1
72,Navio4003,186,41,136214,16.083288363637017,12.648148280513086,11,15,14,2005,CG,Porto83,Porto55,0
73,Navio4249,201,37,82766,15.419112960776548,18.215645583149286,29,16,57,2012,GLP,Porto116,Porto47,0
74,Navio400,250,34,78289,17.36439795073769,18.788443470876818,19,8,24,2012,GS,Porto171,Porto55,1
75,Navio707,224,29,82264,16.05114117151958,13.478411526993,29,10,93,2018,GS,Porto150,Porto27,0
76,Navio3626,187,47,105075,12.968251755268966,14.423626015714003,26,6,67,2020,GSM,Porto37,Porto43,0
77,Navio213,269,52,89040,14.01784390071208,13.466147259211917,11,17,106,2000,GL,Porto94,Porto184,1
78,Navio5569,206,47,87354,12.212832429930778,15.047999314026915,23,13,65,2014,CG,Porto28,Porto109,0
79,Navio5392,217,39,112777,12.660784712133726,15.154857809078653,27,16,50,2018,GSM,Porto69,Porto99,0
80,Navio1832,200,26,84001,17.185746644580757,11.59127522025585,21,19,39,2019,CG,Porto104,Porto91,0
81,Navio310,244,44,135588,19.66832373853457,12.377609159840631,15,16,81,2016,GL,Porto41,Porto47,1
82,Navio416,299,45,105642,17.8589254815953,13.588183557474261,22,16,39,2011,GL,Porto157,Porto189,1
83,Navio460,217,52,97012,14.503988244526216,13.382191108769064,23,14,50,2001,GS,Porto188,Porto149,1
84,Navio446,222,28,106897,14.620094105739318,16.662957620685763,17,11,46,2017,CNTR,Porto136,Porto164,0
85,Navio140,204,62,136683,13.981477693960704,13.147760087025272,29,12,89,2016,CG,Porto54,Porto68,1
86,Navio823,223,35,130005,13.748861215015296,16.209996218331405,23,8,45,2015,GL,Porto96,Porto94,0
87,Navio5872,191,42,124672,17.5091273887175,18.296173291527854,27,19,22,2019,GSM,Porto60,Porto199,0
88,Navio5006,223,47,116772,13.42326714978974,12.49272106157421,26,7,54,2010,GLP,Porto109,Porto151,0
89,Navio211,292,48,90186,14.493759854869122,14.354660947919184,26,9,67,2011,GSM,Porto103,Porto69,1
90,Navio32,298,78,129847,11.651143228893588,17.186452898246415,14,19,97,2004,GS,Porto159,Porto179,1
91,Navio475,277,34,158460,18.504362770130378,18.27717152704903,14,13,55,2016,GS,Porto117,Porto130,1
92,Navio196,223,65,143007,17.07747411225338,13.304413716490398,16,5,42,2013,CNTR,Porto154,Porto77,1
93,Navio206,244,80,149662,14.341937327389674,19.95692971169101,19,5,100,2000,GS,Porto58,Porto73,1
94,Navio148,242,71,86472,12.957844061716314,11.780387800357847,23,16,81,2021,GSM,Porto37,Porto38,1
95,Navio1122,205,32,142531,15.458343783319613,16.848856634281855,15,12,74,2016,GSM,Porto51,Porto138,0
96,Navio503,249,72,148067,19.206512403471947,17.44858354665953,21,6,38,2015,CG,Porto190,Porto188,1
97,Navio4886,206,36,78561,15.01888456529916,14.406698873164068,16,15,35,2016,CNTR,Porto186,Porto111,0
98,Navio230,287,33,142072,17.335100035927148,12.935084816082659,21,12,73,2004,CG,Porto12,Porto81,1
99,Navio54,214,49,97334,17.094663270528635,15.920309866841107,12,15,96,2023,GLP,Porto116,Porto7,0
100,Navio5743,183,49,110172,15.110806576513525,16.205229312531443,14,13,110,2022,GSM,Porto17,Porto174,0
101,Navio1592,212,46,128523,11.66482436534206,12.470925951927686,15,17,36,2012,GS,Porto73,Porto162,0
102,Navio483,256,46,128338,17.03473255728002,12.532692077379012,20,8,71,2015,GSM,Porto157,Porto26,1
103,Navio369,254,44,131871,12.509967624439005,12.281734258318451,21,5,96,2004,GSM,Porto182,Porto188,1
