Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
Navio1,59,12,93953,11,8,21,14,16,2011,GL,Porto3,Porto1,1
Navio2,15,11,144548,9,8,25,6,90,1995,GL,Porto1,Porto4,0
Navio3,18,7,108851,11,18,20,19,42,2010,GS,Porto5,Porto1,1
Navio4,18,16,111313,16,14,31,9,44,2019,GSM,Porto4,Porto5,1
Navio5,54,11,47921,11,10,21,12,20,2002,GLP,Porto2,Porto3,0
Navio6,24,7,168680,18,11,28,16,74,2002,GL,Porto1,Porto2,0
Navio7,34,15,76897,14,19,20,5,93,2015,GL,Porto2,Porto3,0
Navio8,36,8,125016,12,14,22,10,54,1996,GSM,Porto5,Porto1,0
Navio9,51,9,57730,15,17,26,18,68,2021,GL,Porto2,Porto5,1
Navio10,38,6,104038,19,9,32,9,40,1996,GSM,Porto5,Porto4,0
Navio11,21,9,151813,13,11,32,6,108,1998,GLP,Porto5,Porto1,0
Navio12,39,6,170892,15,12,28,12,81,2020,CG,Porto1,Porto4,0
Navio13,39,7,105647,10,18,12,8,13,2020,GLP,Porto1,Porto3,1
Navio14,27,17,111857,18,19,21,15,82,2019,CG,Porto5,Porto1,0
Navio15,16,8,140374,10,17,16,9,21,2020,GSM,Porto4,Porto2,1
Navio16,53,8,51900,9,18,11,16,13,1992,CG,Porto2,Porto5,0
Navio17,54,9,100556,11,12,33,10,90,2010,GS,Porto2,Porto1,1
Navio18,38,10,76361,17,19,31,5,95,2008,GLP,Porto4,Porto3,0
Navio19,39,17,134699,10,13,19,15,105,2014,GSM,Porto2,Porto2,1
Navio20,32,11,121378,13,13,34,15,108,2017,GLP,Porto1,Porto2,1
Navio21,52,14,62821,15,14,20,5,34,2022,CNTR,Porto3,Porto2,1
Navio22,40,11,152326,8,15,34,18,110,2010,GLP,Porto3,Porto1,1
Navio23,28,7,135819,14,11,13,13,73,1991,CG,Porto1,Porto1,0
Navio24,23,12,130001,19,14,30,13,41,2003,GSM,Porto4,Porto2,0
Navio25,24,7,57086,19,17,33,18,18,2003,GS,Porto5,Porto3,0
Navio26,35,15,171685,14,18,21,9,91,2012,CNTR,Porto3,Porto1,0
Navio27,31,12,137400,9,12,14,9,40,1995,GS,Porto5,Porto2,0
Navio28,20,7,127476,8,14,31,8,48,1993,CNTR,Porto4,Porto1,0
Navio29,30,11,81246,17,12,21,7,45,1995,GSM,Porto1,Porto3,0
Navio30,15,12,33702,14,14,28,7,66,2020,GL,Porto1,Porto4,1
Navio31,33,8,198789,13,17,16,10,39,1994,GLP,Porto1,Porto4,0
Navio32,50,8,78813,15,12,20,7,26,1991,GS,Porto1,Porto1,0
Navio33,39,17,70412,14,8,34,10,61,2001,GSM,Porto2,Porto3,0
