,Nome,LOA (m),Boca (m),DWT (ton),Calado de Entrada (m),Calado de Saída (m),Calado Aéreo (m),Pontal (m),Tamanho de Lança (m),Ano de Construção,Tipo do Navio,Último Porto,Próximo Porto,Situação
0,Navio1,59,12,93953,11,8,21,14,16,2019,GL,Porto3,Porto5,1
2,Navio3,18,7,108851,11,18,20,19,42,2018,GS,Porto1,Porto3,1
4,Navio5,54,11,47921,11,10,21,12,20,2016,GLP,Porto5,Porto4,1
12,Navio13,39,7,105647,10,18,12,8,13,2015,GLP,Porto3,Porto4,1
14,Navio15,16,8,140374,10,17,16,9,21,2014,GSM,Porto5,Porto4,1
15,Navio16,53,8,51900,9,18,11,16,13,2020,CG,Porto2,Porto4,1
16,Navio17,54,9,100556,11,12,33,10,90,2016,GS,Porto3,Porto2,1
18,Navio19,39,17,134699,10,13,19,15,105,2011,GSM,Porto3,Porto2,1
19,Navio20,32,11,121378,13,13,34,15,108,2006,GLP,Porto4,Porto4,1
22,Navio23,28,7,135819,14,11,13,13,73,2018,CG,Porto3,Porto4,1
26,Navio27,31,12,137400,9,12,14,9,40,2022,GS,Porto4,Porto3,1
28,Navio29,30,11,81246,17,12,21,7,45,2018,GSM,Porto2,Porto2,1
35,Navio36,34,14,104213,9,11,16,5,41,2020,GLP,Porto5,Porto5,1
36,Navio37,29,12,149986,15,14,20,15,45,2021,CNTR,Porto4,Porto5,1
40,Navio41,24,7,138072,17,10,29,16,76,2007,GL,Porto5,Porto5,1
45,Navio46,50,14,140777,17,15,24,12,44,2014,GS,Porto2,Porto4,1
47,Navio48,43,8,37102,9,10,16,15,100,2017,CNTR,Porto3,Porto1,1
52,Navio53,20,10,123405,12,11,18,19,46,2022,GS,Porto2,Porto3,1
53,Navio54,53,16,102709,11,8,13,17,117,2017,GLP,Porto1,Porto3,1
54,Navio55,55,17,80626,16,12,26,8,94,2018,GL,Porto2,Porto4,1
55,Navio56,32,7,95271,14,15,18,12,42,2013,GSM,Porto5,Porto2,1
57,Navio58,19,17,140544,17,18,32,17,117,2011,CNTR,Porto4,Porto3,1
60,Navio61,46,14,145927,14,11,10,7,59,2022,GS,Porto5,Porto2,1
62,Navio63,16,6,53190,12,16,32,9,52,2017,GLP,Porto3,Porto5,1
66,Navio67,53,15,145367,10,8,26,10,89,2019,GLP,Porto4,Porto1,1
67,Navio68,26,9,61743,15,18,22,10,37,2015,GL,Porto4,Porto1,1
68,Navio69,33,12,148420,12,18,28,15,44,2022,GS,Porto5,Porto2,1
69,Navio70,42,10,46018,11,13,10,5,73,2022,GS,Porto3,Porto4,1
71,Navio72,29,11,85776,8,12,29,5,89,2017,GLP,Porto1,Porto1,1
72,Navio73,50,11,134027,11,11,31,6,26,2006,GL,Porto2,Porto2,1
73,Navio74,27,9,144476,18,16,32,6,109,2017,GS,Porto3,Porto1,1
76,Navio77,26,13,116166,17,8,19,15,53,2014,GSM,Porto2,Porto2,1
77,Navio78,19,16,138002,18,11,23,19,79,2007,CNTR,Porto2,Porto5,1
79,Navio80,19,17,46050,10,9,16,17,12,2018,GLP,Porto3,Porto1,1
81,Navio82,27,11,65918,11,9,33,6,40,2011,GLP,Porto3,Porto4,1
88,Navio89,38,16,110854,9,10,19,10,44,2022,GS,Porto5,Porto3,1
91,Navio92,36,17,54500,14,13,23,14,61,2019,GSM,Porto4,Porto5,1
93,Navio94,56,17,106931,16,18,21,7,107,2013,CG,Porto1,Porto3,1
97,Navio98,20,16,74962,8,15,13,15,29,2010,CG,Porto1,Porto3,1
98,Navio99,45,12,64173,9,8,14,14,105,2012,GS,Porto4,Porto4,1
100,Navio101,51,6,65371,8,18,34,13,78,2021,CNTR,Porto3,Porto5,1
101,Navio102,49,8,129801,16,14,34,12,15,2011,GSM,Porto2,Porto1,1
102,Navio103,44,14,42074,12,9,27,11,101,2016,GL,Porto4,Porto2,1
110,Navio111,15,10,89072,9,10,25,10,90,2013,CNTR,Porto4,Porto2,1
114,Navio115,17,9,76132,16,17,16,9,39,2018,CNTR,Porto4,Porto1,1
118,Navio119,18,15,121467,9,16,21,12,110,2021,CG,Porto3,Porto3,1
121,Navio122,35,13,107639,8,17,15,15,57,2019,GLP,Porto3,Porto1,1
122,Navio123,32,14,146249,12,11,19,18,79,2012,GL,Porto5,Porto3,1
123,Navio124,42,9,89827,16,8,31,16,101,2019,GLP,Porto5,Porto5,1
124,Navio125,29,9,110517,15,9,27,11,26,2012,GSM,Porto4,Porto5,1
125,Navio126,56,15,66773,12,10,28,6,60,2015,GL,Porto4,Porto5,1
128,Navio129,25,13,127273,17,17,20,18,10,2011,CNTR,Porto3,Porto5,1
133,Navio134,17,14,31803,10,10,27,12,66,2021,GLP,Porto3,Porto5,1
135,Navio136,47,11,32410,18,8,25,8,97,2008,GL,Porto5,Porto4,1
136,Navio137,15,7,62039,17,18,15,8,68,2021,GLP,Porto2,Porto2,1
138,Navio139,34,12,88231,18,12,27,19,67,2020,GSM,Porto3,Porto4,1
139,Navio140,57,7,133640,16,12,15,6,53,2020,CG,Porto5,Porto3,1
144,Navio145,17,6,130985,14,13,17,8,107,2018,GS,Porto1,Porto1,1
146,Navio147,45,17,104094,16,8,32,6,38,2011,CG,Porto2,Porto5,1
149,Navio150,28,10,143455,13,9,32,19,87,2014,GSM,Porto2,Porto4,1
153,Navio154,46,11,101886,18,13,24,18,92,2018,CG,Porto5,Porto4,1
154,Navio155,23,8,109676,16,11,21,18,117,2011,CNTR,Porto3,Porto2,1
